2.01	0.08	6.27	0.08
1.88	0.02	6.40	0.09
2.20	0.02	7.72	0.31
2.32	0.02	7.65	0.16
2.31	0.02	7.64	0.05
2.18	0.02	7.30	0.24
2.24	0.02	7.13	0.32
2.15	0.02	7.61	0.05
2.36	0.02	9.08	0.35
2.31	0.02	8.32	0.11
2.53	0.02	9.41	0.08
2.16	0.02	8.15	0.16
2.31	0.02	8.02	0.25
2.16	0.02	7.19	0.04
2.26	0.02	8.32	0.17
2.11	0.02	7.59	0.01
2.50	0.02	8.71	0.09
2.38	0.02	8.37	0.34
2.35	0.02	8.53	0.19
2.27	0.02	7.85	0.08
2.28	0.02	7.96	0.34
2.57	0.02	9.48	0.15
2.21	0.02	7.73	0.04
2.18	0.02	7.92	0.21
2.59	0.02	9.28	0.12
2.25	0.02	8.24	0.04
1.95	0.02	7.13	0.15
2.37	0.02	8.28	0.22
2.46	0.02	8.72	0.15
2.42	0.02	8.58	0.22
1.83	0.02	6.53	0.17
